title,Authors,1stAuthor,result-from,result-id,result-pub_date,result-title,result-ttl_similarity,result-author,result-link,result-pdf_link
"Generic Coreset for Scalable Learning of Monotonic Kernels: Logistic Regression, Sigmoid and more",Elad Tolochinksy (Haifa University) · Ibrahim Jubran (The University of Haifa) · Dan Feldman (The University of Haifa),Elad Tolochinksy,,,,,0.0,,,
ProGCL: Rethinking Hard Negative Mining in Graph Contrastive Learning,Jun Xia (Westlake University) · Lirong Wu (Westlake University) · Wang Ge (Westlake University) · Jintao Chen (Zhejiang University) · Stan Z. Li (Westlake University),Jun Xia,arXiv,http://arxiv.org/abs/2110.02027v3,2021-10-05T13:15:59Z,ProGCL: Rethinking Hard Negative Mining in Graph Contrastive Learning,1.0,Stan Z. Li,http://arxiv.org/abs/2110.02027v3,http://arxiv.org/pdf/2110.02027v3
Thresholded Lasso Bandit,"Kaito Ariu (CyberAgent, Inc. / KTH) · Kenshi Abe (CyberAgent, Inc.) · Alexandre Proutiere (KTH Royal Institute of Technology)",Kaito Ariu,arXiv,http://arxiv.org/abs/2010.11994v4,2020-10-22T19:14:37Z,Thresholded Lasso Bandit,1.0,Alexandre Proutière,http://arxiv.org/abs/2010.11994v4,http://arxiv.org/pdf/2010.11994v4
Evolving Curricula with Regret-Based Environment Design,Jack Parker-Holder (University of Oxford) · Minqi Jiang (UCL & FAIR) · Michael Dennis (UC Berkeley) · Mikayel Samvelyan (University College London) · Jakob Foerster (Oxford university) · Edward Grefenstette (Facebook AI Research & UCL) · Tim Rocktäschel (Facebook AI Research & University College London),Jack Parker-Holder,arXiv,http://arxiv.org/abs/2203.01302v2,2022-03-02T18:40:00Z,Evolving Curricula with Regret-Based Environment Design,1.0,Tim Rocktäschel,http://arxiv.org/abs/2203.01302v2,http://arxiv.org/pdf/2203.01302v2
DynaMixer: A Vision MLP Architecture with Dynamic Mixing,Ziyu Wang (Tencent) · Wenhao Jiang (Tencent) · Yiming Zhu (Graduate school at ShenZhen，Tsinghua university) · Li Yuan (Peking University) · Yibing Song (Tencent AI Lab) · Wei Liu (Tencent),Ziyu Wang,arXiv,http://arxiv.org/abs/2201.12083v3,2022-01-28T12:43:14Z,DynaMixer: A Vision MLP Architecture with Dynamic Mixing,1.0,Wei Liu,http://arxiv.org/abs/2201.12083v3,http://arxiv.org/pdf/2201.12083v3
AutoSNN: Towards Energy-Efficient Spiking Neural Networks,Byunggook Na (Samsung Advanced Institute of Technology) · Jisoo Mok (Seoul National University) · Seongsik Park (Seoul National University) · Dongjin Lee (Seoul National University) · Hyeokjun Choe (Seoul National University) · Sungroh Yoon (Seoul National University),Byunggook Na,arXiv,http://arxiv.org/abs/2201.12738v3,2022-01-30T06:12:59Z,AutoSNN: Towards Energy-Efficient Spiking Neural Networks,1.0,Sungroh Yoon,http://arxiv.org/abs/2201.12738v3,http://arxiv.org/pdf/2201.12738v3
Rethinking Fano’s Inequality in Ensemble Learning,"Terufumi Morishita (Hitachi, Ltd.) · Gaku Morio (Hitachi, ltd.) · Shota Horiguchi (Hitachi, Ltd.) · Hiroaki Ozaki (Hitachi, Ltd.) · Nobuo Nukaga (Hitachi, Ltd.)",Terufumi Morishita,arXiv,http://arxiv.org/abs/2205.12683v1,2022-05-25T11:44:13Z,Rethinking Fano's Inequality in Ensemble Learning,0.98,Nobuo Nukaga,http://arxiv.org/abs/2205.12683v1,http://arxiv.org/pdf/2205.12683v1
Pure Noise to the Rescue of Insufficient Data: Improving Imbalanced Classification by Training on Random Noise Images,"Shiran Zada (Weizmann Institute of Science) · Itay Benou (Weizmann Institute of science) · Michal Irani (Weizmann Institute, Israel)",Shiran Zada,arXiv,http://arxiv.org/abs/2112.08810v2,2021-12-16T11:51:35Z,"Pure Noise to the Rescue of Insufficient Data: Improving Imbalanced
  Classification by Training on Random Noise Images",0.992,Michal Irani,http://arxiv.org/abs/2112.08810v2,http://arxiv.org/pdf/2112.08810v2
Prototype-anchored Learning for Learning with Imperfect Annotations,Xiong Zhou (Harbin Institute of Technology) · Xianming Liu (Harbin Institute of Technology) · Deming Zhai (Harbin Institute of Technolgy) · Junjun Jiang (Harbin Institute of Technology) · Xin Gao (Kaust) · Xiangyang Ji (Tsinghua University),Xiong Zhou,,,,,0.0,,,
"The dynamics of representation learning in shallow, non-linear autoencoders",Maria Refinetti (Laboratoire de Physique de l’Ecole Normale Supérieure Paris) · Sebastian Goldt (International School of Advanced Studies (SISSA)),Maria Refinetti,arXiv,http://arxiv.org/abs/2201.02115v2,2022-01-06T15:57:31Z,"The dynamics of representation learning in shallow, non-linear
  autoencoders",0.987,Sebastian Goldt,http://arxiv.org/abs/2201.02115v2,http://arxiv.org/pdf/2201.02115v2
Exploring the Gap between Collapsed & Whitened Features in Self-Supervised Learning,Bobby He (University of Oxford) · Mete Ozay (Samsung Research UK),Bobby He,Google,,,On Feature Decorrelation ,0.259,,https://arxiv.org/pdf/2105.00470,
A Joint Exponential Mechanism For Differentially Private Top-kkk,Jennifer Gillenwater (Google Research NYC) · Matthew Joseph (Google) · andres munoz (Google) · Monica Ribero Diaz (University of Texas at Austin / Google),Jennifer Gillenwater,arXiv,http://arxiv.org/abs/2201.12333v1,2022-01-28T18:56:24Z,A Joint Exponential Mechanism For Differentially Private Top-$k$,0.969,Mónica Ribero,http://arxiv.org/abs/2201.12333v1,http://arxiv.org/pdf/2201.12333v1
Policy Gradient Method For Robust Reinforcement Learning,"Yue Wang (University at Buffalo) · Shaofeng Zou (University at Buffalo, the State University of New York)",Yue Wang,arXiv,http://arxiv.org/abs/2205.07344v1,2022-05-15T17:35:17Z,Policy Gradient Method For Robust Reinforcement Learning,1.0,Shaofeng Zou,http://arxiv.org/abs/2205.07344v1,http://arxiv.org/pdf/2205.07344v1
EAT-C: Environment-Adversarial sub-Task Curriculum for Efficient Reinforcement Learning,Shuang Ao (University of Technology Sydney) · Tianyi Zhou (University of Washington) · Jing Jiang (University of Technology Sydney) · Guodong Long (University of Technology Sydney) · Xuan Song () · Chengqi Zhang (University of Technology Sydney),Shuang Ao,,,,,0.0,,,
Regret Minimization with Performative Feedback,"Meena Jagadeesan (UC Berkeley) · Tijana Zrnic (University of California, Berkeley) · Celestine Mendler-Dünner (Max Planck Institute for Intelligent Systems)",Meena Jagadeesan,arXiv,http://arxiv.org/abs/2202.00628v1,2022-02-01T18:22:17Z,Regret Minimization with Performative Feedback,1.0,Celestine Mendler-Dünner,http://arxiv.org/abs/2202.00628v1,http://arxiv.org/pdf/2202.00628v1
Generalization Bounds using Lower Tail Exponents in Stochastic Optimizers,Liam Hodgkinson (University of California Berkeley) · Umut Simsekli (Inria/ENS) · Rajiv Khanna (UC Berkeley) · Michael Mahoney (UC Berkeley),Liam Hodgkinson,arXiv,http://arxiv.org/abs/2108.00781v1,2021-08-02T10:58:32Z,"Generalization Properties of Stochastic Optimizers via Trajectory
  Analysis",0.591,Michael W. Mahoney,http://arxiv.org/abs/2108.00781v1,http://arxiv.org/pdf/2108.00781v1
Local Augmentation for Graph Neural Networks,Songtao Liu (The Pennsylvania State University) · Rex (Zhitao) Ying (Stanford University) · Hanze Dong (HKUST) · Lanqing Li (Tencent AI Lab) · Tingyang Xu (Tencent Holdings) · Yu Rong (Tencent AI Lab) · Peilin Zhao (Tencent AI Lab) · Junzhou Huang (University of Texas at Arlington / Tencent AI Lab) · Dinghao Wu (Pennsylvania State University),Songtao Liu,arXiv,http://arxiv.org/abs/2109.03856v3,2021-09-08T18:10:08Z,Local Augmentation for Graph Neural Networks,1.0,Dinghao Wu,http://arxiv.org/abs/2109.03856v3,http://arxiv.org/pdf/2109.03856v3
Stochastic Deep Networks with Linear Competing Units for Model-Agnostic Meta-Learning,Konstantinos Kalais (Cyprus University of Technology) · Sotirios Chatzis (Cyprus University of Technology),Konstantinos Kalais,,,,,0.0,,,
Object Permanence Emerges in a Random Walk along Memory,Pavel Tokmakov (Toyota Research Institute) · Allan Jabri (UC Berkeley) · Jie Li (Toyota Research Institute) · Adrien Gaidon (Toyota Research Institute),Pavel Tokmakov,arXiv,http://arxiv.org/abs/2204.01784v2,2022-04-04T18:28:24Z,Object Permanence Emerges in a Random Walk along Memory,1.0,Adrien Gaidon,http://arxiv.org/abs/2204.01784v2,http://arxiv.org/pdf/2204.01784v2
G-Mixup: Graph Data Augmentation for Graph Classification,Xiaotian Han (Texas A&M University) · Zhimeng Jiang (Texas A&M University) · Ninghao Liu (University of Georgia) · Xia Hu (Rice University),Xiaotian Han,,,,,0.0,,,
Fourier Learning with Cyclical Data,Yingxiang Yang (UIUC) · Zhihan Xiong (University of Washington) · Tianyi Liu (ByteDance Inc.) · Taiqing Wang (ByteDance) · Chong Wang (ByteDance),Yingxiang Yang,,,,,0.0,,,
Neural Tangent Kernel Analysis of Deep Narrow Neural Networks,Jongmin Lee (Seoul National university) · Joo Young Choi (Seoul National University) · Ernest Ryu (Seoul National University) · Albert No (Hongik University),Jongmin Lee,arXiv,http://arxiv.org/abs/2202.02981v1,2022-02-07T07:27:02Z,Neural Tangent Kernel Analysis of Deep Narrow Neural Networks,1.0,Albert No,http://arxiv.org/abs/2202.02981v1,http://arxiv.org/pdf/2202.02981v1
Bayesian Nonparametric Learning for Point Processes with Spatial Homogeneity: A Spatial Analysis of NBA Shot Locations,Fan Yin (Microsoft) · Jieying Jiao (University of Connecticut ) · Guanyu Hu (University of Missouri) · Jun Yan (University of Connecticut),Fan Yin,arXiv,http://arxiv.org/abs/2011.11178v1,2020-11-23T02:32:49Z,"Bayesian Nonparametric Estimation for Point Processes with Spatial
  Homogeneity: A Spatial Analysis of NBA Shot Locations",0.942,Jun Yan,http://arxiv.org/abs/2011.11178v1,http://arxiv.org/pdf/2011.11178v1
Improved Certified Defenses against Data Poisoning with (Deterministic) Finite Aggregation,Wenxiao Wang (University of Maryland) · Alexander Levine (University of Maryland) · Soheil Feizi (University of Maryland),Wenxiao Wang,arXiv,http://arxiv.org/abs/2202.02628v1,2022-02-05T20:08:58Z,"Improved Certified Defenses against Data Poisoning with (Deterministic)
  Finite Aggregation",0.989,Soheil Feizi,http://arxiv.org/abs/2202.02628v1,http://arxiv.org/pdf/2202.02628v1
Flow-Guided Sparse Transformer for Video Deblurring,"Jing Lin (Tsinghua Univisity, Tsinghua Shenzhen International Graduate School) · Yuanhao Cai (Tsinghua Univisity, Tsinghua Shenzhen International Graduate School) · Xiaowan Hu (Tsinghua Univisity, Tsinghua Shenzhen International Graduate School) · Haoqian Wang (Tsinghua Shenzhen International Graduate School, Tsinghua University) · Youliang Yan (Huawei Noah's Ark Lab) · Xueyi Zou (Huawei Noah's Ark Lab) · Henghui Ding (ETH Zurich) · Yulun Zhang (ETH Zurich) · Radu Timofte () · Luc Van Gool (ETH Zurich)",Jing Lin,arXiv,http://arxiv.org/abs/2201.01893v3,2022-01-06T02:05:32Z,Flow-Guided Sparse Transformer for Video Deblurring,1.0,Luc Van Gool,http://arxiv.org/abs/2201.01893v3,http://arxiv.org/pdf/2201.01893v3
Guided-TTS: A Diffusion Model for Text-to-Speech via Classifier Guidance,Heeseung Kim (Seoul National University) · Sungwon Kim (Seoul National University) · Sungroh Yoon (Seoul National University),Heeseung Kim,Google,,,arXiv:2111.11755v3 [cs.SD] 29 Jan 2022,0.073,,https://arxiv.org/pdf/2111.11755,
Safe Exploration for Efficient Policy Evaluation and Comparison,Runzhe Wan (Amazon) · Branislav Kveton (Google Research) · Rui Song (North Carolina State University),Runzhe Wan,arXiv,http://arxiv.org/abs/2202.13234v2,2022-02-26T21:41:44Z,Safe Exploration for Efficient Policy Evaluation and Comparison,1.0,Rui Song,http://arxiv.org/abs/2202.13234v2,http://arxiv.org/pdf/2202.13234v2
Structural Entropy Guided Graph Hierarchical Pooling,"Junran Wu (State Key Lab of Software Development Environment, Beihang University) · Xueyuan Chen (Beihang University) · Shangzhe Li (beihang university) · Ke Xu (Beihang University)",Junran Wu,Google,,,Structure-Aware ,0.324,,https://arxiv.org/pdf/2104.13012,
You Only Cut Once: Boosting Data Augmentation with a Single Cut,"Junlin Han (CSIRO) · Pengfei Fang (The Australian National University) · Weihao Li (Data61, CSIRO) · Jie Hong (Australian National University) · Mohammad Ali Armin (CSIRO(Data61)) · Ian Reid (""University of Adelaide, Australia"") · Lars Petersson (Data61/CSIRO) · HONGDONG LI (Australian National University, Australia)",Junlin Han,arXiv,http://arxiv.org/abs/2201.12078v3,2022-01-28T12:34:40Z,You Only Cut Once: Boosting Data Augmentation with a Single Cut,1.0,Hongdong Li,http://arxiv.org/abs/2201.12078v3,http://arxiv.org/pdf/2201.12078v3
Channel Importance Matters in Few-Shot Image Classification,"Xu Luo (University of Electronic Science and Technology of China) · Jing Xu (Harbin Institute of Technology, Shenzhen) · ZENGLIN Xu (Harbin Institute of Technology, Shenzhen)",Xu Luo,arXiv,http://arxiv.org/abs/2206.08126v2,2022-06-16T12:38:45Z,Channel Importance Matters in Few-Shot Image Classification,1.0,Zenglin Xu,http://arxiv.org/abs/2206.08126v2,http://arxiv.org/pdf/2206.08126v2
Plan Your Target and Learn Your Skills: Transferable State-Only Imitation Learning via Decoupled Policy Optimization,Minghuan Liu (Shanghai Jiao Tong University) · Zhengbang Zhu (Shanghai Jiao Tong University) · Yuzheng Zhuang (HUAWEI) · Weinan Zhang (Shanghai Jiao Tong University) · Jianye Hao (Huawei Noah's Ark Lab) · Yong Yu (Shanghai Jiao Tong University) · Jun Wang (UCL),Minghuan Liu,arXiv,http://arxiv.org/abs/2203.02214v3,2022-03-04T09:46:29Z,"Plan Your Target and Learn Your Skills: Transferable State-Only
  Imitation Learning via Decoupled Policy Optimization",0.991,Jun Wang,http://arxiv.org/abs/2203.02214v3,http://arxiv.org/pdf/2203.02214v3
ppp-Laplacian Based Graph Neural Networks,Guoji Fu (Tencent AI Lab) · Peilin Zhao (Tencent AI Lab) · Yatao Bian (Tencent AI Lab),Guoji Fu,Google,,,An Adaptive Butterworth Spectral-,0.162,,https://www.tandfonline.com/doi/full/10.1080/10106049.2022.2087752,
SDQ: Stochastic Differentiable Quantization with Mixed Precision,Xijie Huang (HKUST) · Zhiqiang Shen (Carnegie Mellon University) · Shichao Li (Hong Kong University of Science and Technology) · Zechun Liu (Carnegie Mellon University) · Hu Xianghong (HKUST) · Jeffry Wicaksana (Hong Kong University of Science and Technology) · Eric Xing (Petuum Inc. and CMU) · Kwang-Ting Cheng (Hong Kong University of Science and Technology),Xijie Huang,arXiv,http://arxiv.org/abs/2206.04459v2,2022-06-09T12:38:18Z,SDQ: Stochastic Differentiable Quantization with Mixed Precision,1.0,Kwang-Ting Cheng,http://arxiv.org/abs/2206.04459v2,http://arxiv.org/pdf/2206.04459v2
Off-Policy Evaluation for Large Action Spaces via Embeddings,Yuta Saito (Cornell University) · Thorsten Joachims (Cornell),Yuta Saito,arXiv,http://arxiv.org/abs/2202.06317v2,2022-02-13T14:00:09Z,Off-Policy Evaluation for Large Action Spaces via Embeddings,1.0,Thorsten Joachims,http://arxiv.org/abs/2202.06317v2,http://arxiv.org/pdf/2202.06317v2
Generalized Strategic Classification and the Case of Aligned Incentives,Sagi Levanon (Technion) · Nir Rosenfeld (Technion),Sagi Levanon,arXiv,http://arxiv.org/abs/2202.04357v2,2022-02-09T09:36:09Z,Generalized Strategic Classification and the Case of Aligned Incentives,1.0,Nir Rosenfeld,http://arxiv.org/abs/2202.04357v2,http://arxiv.org/pdf/2202.04357v2
AdAUC: End-to-end Adversarial AUC Optimization Against Long-tail Problems,"Wenzheng Hou (Institute of Computing Technology) · Qianqian Xu (Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences) · zhiyong yang (中国科学院大学) · Shilong Bao (SKLOIS, Institute of Information Engineering, Chinese Academy of Sciences; SCS, University of CAS) · Yuan He (Alibaba Group) · Qingming Huang (University of Chinese Academy of Sciences)",Wenzheng Hou,Google,,,Accepted Papers - ICML,0.168,,https://icml.cc/Conferences/2022/AcceptedPapersInitial,
Strategic Representation,"Vineet Nair (Technion) · Ganesh Ghalme (Indian Institute of Technology, Hyderabad) · Inbal Talgam-Cohen (Technion) · Nir Rosenfeld (Technion)",Vineet Nair,arXiv,http://arxiv.org/abs/2206.08542v1,2022-06-17T04:20:57Z,Strategic Representation,1.0,Nir Rosenfeld,http://arxiv.org/abs/2206.08542v1,http://arxiv.org/pdf/2206.08542v1
Principled Knowledge Extrapolation with GANs,Ruili Feng (USTC) · Jie Xiao (University of Science and Technology of China) · Kecheng Zheng (University of Science and Technology of China) · Deli Zhao (Alibaba Group) · Jingren Zhou (Alibaba Group) · Qibin Sun (University of Science and Technology of China) · Zheng-Jun Zha (University of Science and Technology of China),Ruili Feng,arXiv,http://arxiv.org/abs/2205.13444v1,2022-05-21T08:39:42Z,Principled Knowledge Extrapolation with GANs,1.0,Zheng-Jun Zha,http://arxiv.org/abs/2205.13444v1,http://arxiv.org/pdf/2205.13444v1
Bayesian Deep Embedding Topic Meta-Learner ,"Zhibin Duan (Xidian University) · Yishi Xu (Xidian University) · Jianqiao Sun (Xidian University) · Bo Chen (School of Electronic Engineering, Xidian University) · Wenchao Chen (Xi'dian University) · CHAOJIE WANG (XIDIAN UNIVERSITY) · Mingyuan Zhou (University of Texas at Austin)",Zhibin Duan,,,,,0.0,,,
Adversarial Attacks on Gaussian Process Bandits,"Eric Han (National University of Singapore, School of Computing) · Jonathan Scarlett (National University of Singapore)",Eric Han,arXiv,http://arxiv.org/abs/2110.08449v3,2021-10-16T02:39:10Z,Adversarial Attacks on Gaussian Process Bandits,1.0,Jonathan Scarlett,http://arxiv.org/abs/2110.08449v3,http://arxiv.org/pdf/2110.08449v3
NAFS: A Simple yet Tough-to-beat Baseline for Graph Representation Learning,Wentao Zhang (Peking University) · Zeang Sheng (Peking University) · Mingyu Yang (Peking University) · Yang Li (Peking University) · Yu Shen (Peking University) · Zhi Yang (Peking University) · Bin Cui (Peking University),Wentao Zhang,arXiv,http://arxiv.org/abs/2206.08583v1,2022-06-17T06:53:04Z,"NAFS: A Simple yet Tough-to-beat Baseline for Graph Representation
  Learning",0.987,Bin Cui,http://arxiv.org/abs/2206.08583v1,http://arxiv.org/pdf/2206.08583v1
Nearly Optimal Policy Optimization with Stable at Any Time Guarantee,"Tianhao Wu (UC Berkeley) · Yunchang Yang (Peking University) · Han Zhong (Peking University) · Liwei Wang (Peking University) · Simon Du (University of Washington) · Jiantao Jiao (University of California, Berkeley)",Tianhao Wu,arXiv,http://arxiv.org/abs/2112.10935v2,2021-12-21T01:54:17Z,Nearly Optimal Policy Optimization with Stable at Any Time Guarantee,1.0,Jiantao Jiao,http://arxiv.org/abs/2112.10935v2,http://arxiv.org/pdf/2112.10935v2
VLMixer: Unpaired Vision-Language Pre-training via Cross-Modal CutMix,Teng Wang (Southern University of Science and Technology) · Wenhao Jiang (Tencent) · Zhichao Lu (Southern University of Science and Technology) · Feng Zheng (SUSTech) · Ran Cheng (Southern University of Science and Technology) · chengguo yin (tencent) · Ping Luo (The University of Hong Kong),Teng Wang,arXiv,http://arxiv.org/abs/2206.08919v1,2022-06-17T17:56:47Z,VLMixer: Unpaired Vision-Language Pre-training via Cross-Modal CutMix,1.0,Ping Luo,http://arxiv.org/abs/2206.08919v1,http://arxiv.org/pdf/2206.08919v1
Multi-Level Branched Regularization for Federated Learning,Jinkyu Kim (Seoul National University) · Geeho Kim (Seoul National University) · Bohyung Han (Seoul National University),Jinkyu Kim,Google,,,Diurnal or Nocturnal? ,0.2,,https://openreview.net/forum?id=E4EE_ohFGz,
Personalized Federated Learning via Variational Bayesian Inference,"Xu Zhang (Chinese Academy of Sciences) · Yinchuan Li (Huawei Noah’s Ark Lab) · Wenpeng Li (Huawei Technologies Noah's Ark Lab) · Kaiyang Guo (Noah's Ark Lab, Huawei Technologies) · Yunfeng Shao (Huawei Noah's Ark Lab)",Xu Zhang,arXiv,http://arxiv.org/abs/2206.07977v1,2022-06-16T07:37:02Z,Personalized Federated Learning via Variational Bayesian Inference,1.0,Yunfeng Shao,http://arxiv.org/abs/2206.07977v1,http://arxiv.org/pdf/2206.07977v1
On the Practicality of Deterministic Epistemic Uncertainty,"Janis Postels (ETH Zurich) · Mattia Segù (ETH Zurich) · Tao Sun (ETH Zurich) · Luca Daniel Sieber (ETH Zurich) · Luc Van Gool (ETH Zurich) · Fisher Yu (ETH Zurich) · Federico Tombari (Google, TU Munich)",Janis Postels,arXiv,http://arxiv.org/abs/2107.00649v2,2021-07-01T17:59:07Z,On the Practicality of Deterministic Epistemic Uncertainty,1.0,Federico Tombari,http://arxiv.org/abs/2107.00649v2,http://arxiv.org/pdf/2107.00649v2
Achieving Fairness at No Utility Cost via Data Reweighing,Peizhao Li (Brandeis University) · Hongfu Liu (Brandeis University),Peizhao Li,arXiv,http://arxiv.org/abs/2202.00787v2,2022-02-01T22:12:17Z,Achieving Fairness at No Utility Cost via Data Reweighing with Influence,0.884,Hongfu Liu,http://arxiv.org/abs/2202.00787v2,http://arxiv.org/pdf/2202.00787v2
Plug & Play Attacks: Towards Robust and Flexible Model Inversion Attacks,Lukas Struppek (Technical University of Darmstadt) · Dominik Hintersdorf (Technical University of Darmstadt) · Antonio De Almeida Correia (Technical University of Darmstadt) · Antonia Adler (Universität der Bundeswehr (München)) · Kristian Kersting (TU Darmstadt),Lukas Struppek,arXiv,http://arxiv.org/abs/2201.12179v4,2022-01-28T15:25:50Z,Plug & Play Attacks: Towards Robust and Flexible Model Inversion Attacks,1.0,Kristian Kersting,http://arxiv.org/abs/2201.12179v4,http://arxiv.org/pdf/2201.12179v4
On Non-local Convergence Analysis of Deep Linear Networks,Kun Chen (Peking University) · Dachao Lin (Peking University) · Zhihua Zhang (Peking University),Kun Chen,arXiv,http://arxiv.org/abs/2201.02761v1,2022-01-08T04:44:59Z,"Global Convergence Analysis of Deep Linear Networks with A One-neuron
  Layer",0.731,Zhihua Zhang,http://arxiv.org/abs/2201.02761v1,http://arxiv.org/pdf/2201.02761v1
HousE: Knowledge Graph Embedding with Householder Parameterization,Rui Li (Dalian University of Technology) · Jianan Zhao (University of Notre Dame) · Chaozhuo Li (Microsoft Research Asia) · Di He (Microsoft Research) · Yiqi Wang (Michigan State University) · Yuming Liu (Microsoft) · Hao Sun (Microsoft) · Senzhang Wang (Central South University) · Weiwei Deng (Microsoft) · Yanming Shen (Dalian University of Technology) · Xing Xie (Microsoft Research Asia) · Qi Zhang (Microsoft),Rui Li,arXiv,http://arxiv.org/abs/2202.07919v3,2022-02-16T08:13:23Z,HousE: Knowledge Graph Embedding with Householder Parameterization,1.0,Qi Zhang,http://arxiv.org/abs/2202.07919v3,http://arxiv.org/pdf/2202.07919v3
Robust Multi-Objective Bayesian Optimization Under Input Noise,"Samuel Daulton (Meta, University of Oxford) · Sait Cakmak (Meta) · Maximilian Balandat (Facebook) · Michael A Osborne (U Oxford) · Enlu Zhou () · Eytan Bakshy (Meta)",Samuel Daulton,arXiv,http://arxiv.org/abs/2202.07549v4,2022-02-15T16:33:48Z,Robust Multi-Objective Bayesian Optimization Under Input Noise,1.0,Eytan Bakshy,http://arxiv.org/abs/2202.07549v4,http://arxiv.org/pdf/2202.07549v4
Convolutional and Residual Networks Provably Contain Lottery Tickets,"Rebekka Burkholz (CISPA, Helmholtz Center, Saarland Informatics Campus)",Rebekka Burkholz,arXiv,http://arxiv.org/abs/2205.02343v1,2022-05-04T22:20:01Z,Convolutional and Residual Networks Provably Contain Lottery Tickets,1.0,Rebekka Burkholz,http://arxiv.org/abs/2205.02343v1,http://arxiv.org/pdf/2205.02343v1
Stabilizing Off-Policy Deep Reinforcement Learning from Pixels,Edoardo Cetin (King's College London) · Philip Ball (University of Oxford) · Stephen Roberts (University of Oxford) · Oya Celiktutan (King's College London),Edoardo Cetin,,,,,0.0,,,
